zip,Tot_Srvcs,Tot_Benes,Avg_Mdcr_Alowd_Amt,age_65_plus,median_income,population,pct_bachelors_plus
85378,459670.0,36171,211.9711040055169,1760.0,63102.0,9226.0,0.5558534405719392
85379,9055.0,4607,70.21914489923027,4494.0,99587.0,48638.0,0.5206454199238324
85381,2669619.5,403113,137.23332258635935,4286.0,86743.0,27098.0,0.48800940839597073
85382,273557.0,65110,148.8317248466254,8424.0,87060.0,41158.0,0.46666228732838466
85383,151162.0,56124,91.36864895973677,10242.0,131156.0,69177.0,0.3657244583387608
85387,686.0,646,107.36269993149999,5313.0,87480.0,16124.0,0.45112259856492554
85388,59498.0,9478,81.54961162448652,3813.0,100639.0,33517.0,0.5098099799165765
85390,34467.0,9638,82.94532127822656,3966.0,64189.0,9896.0,0.5625
85392,364160.0,80069,166.52180812888875,3670.0,83439.0,39208.0,0.5468952658884566
85395,497893.0,179618,117.94470213446776,8547.0,105717.0,37313.0,0.42441860465116277
85396,57373.0,7113,77.26476232304215,6618.0,112643.0,35752.0,0.4943769309989701
85501,38303.0,17151,102.614473845095,2667.0,64447.0,12927.0,0.6196177273682
85532,11443.1,1391,258.62365701875,80.0,-666666666.0,387.0,0.44075829383886256
85534,204.0,173,53.904540729,599.0,56902.0,2777.0,0.6561497326203208
85539,1045.0,966,92.46989072083333,710.0,42819.0,2936.0,0.5904452690166976
85540,5807.0,1677,66.8215031157302,48.0,79715.0,3881.0,0.5256114443931703
85541,362831.1,53122,83.91228522633371,7508.0,58734.0,22951.0,0.5840513692991604
85542,3266.0,1676,60.81879141389394,221.0,27833.0,3049.0,0.65848934796643
85543,573.0,337,46.15260386520909,604.0,67717.0,4425.0,0.5538689374305813
85544,2433.4,201,246.18346151766664,1213.0,53393.0,2529.0,0.5140997830802603
85546,51155.0,11562,110.13242228558214,2648.0,61627.0,20893.0,0.6076762138373855
85550,19141.0,1082,155.2704686895625,364.0,41563.0,5378.0,0.6227897838899804
85552,1964.0,942,77.08145189466667,873.0,72561.0,6640.0,0.5502379693283976
85553,2085.2,131,317.10191463949997,763.0,48050.0,1477.0,0.6001558846453624
85601,630.6,28,259.7711621934,216.0,31636.0,524.0,0.57
85602,32136.5,4773,108.69809134212059,2836.0,54577.0,9643.0,0.5841718792493881
85603,4595.8,1189,84.04774755616786,2185.0,43149.0,6761.0,0.45046524356869183
85607,8730.0,2436,233.33319255643832,2538.0,41369.0,16864.0,0.5104619028819581
85610,2432.7,1285,88.49324797333912,129.0,32083.0,784.0,0.53125
85613,1331.0,440,49.37767691909091,0.0,92885.0,4784.0,0.38871951219512196
85614,338377.0,82541,88.52932544913662,14219.0,59850.0,23997.0,0.4357483055504671
85615,27.0,24,154.6525000015,2287.0,79583.0,9435.0,0.44583513163573585
85616,1523.9,99,318.544011022,1198.0,48810.0,4876.0,0.5521635253517387
85621,11682.7,8812,90.36293308609403,3522.0,37004.0,21421.0,0.4505376344086022
85622,37512.1,11644,82.74103250944628,4527.0,72023.0,6151.0,0.40212264150943394
85623,1028.0,467,35.39235408286667,2325.0,65395.0,4887.0,0.4563758389261745
85625,4711.4,246,175.987289752225,817.0,47404.0,2031.0,0.49586776859504134
85629,44565.0,15110,90.29292028272576,3494.0,102872.0,30224.0,0.4810861630350625
85630,4415.4,134,3138.5986761880004,546.0,52244.0,2225.0,0.5863236289776574
85631,1341.0,637,72.1559171415,673.0,45000.0,3555.0,0.6757618710134656
85634,921.0,769,77.22354392912916,625.0,31814.0,6012.0,0.6836887954340642
85635,824703.4,144374,93.52950707035876,6434.0,62167.0,35516.0,0.4907403703851846
85637,7058.1,274,166.10227035898575,520.0,83636.0,1219.0,0.4578313253012048
85641,14712.4,3387,68.44300349688166,4107.0,114201.0,30638.0,0.3989100817438692
85643,10452.0,5617,66.23246843596385,1360.0,54492.0,8787.0,0.6094703049759229
85646,5322.0,276,194.8967125526,761.0,87667.0,1403.0,0.2905457340507302
85648,15326.3,1391,77.89686970589706,2305.0,62461.0,21509.0,0.4731591448931116
85650,40571.3,8311,85.0572729595415,3862.0,77083.0,14434.0,0.4493275241523016
85653,15769.4,3022,74.45058414241515,2362.0,80851.0,20537.0,0.5633273056057866
85658,7557.0,6152,85.80364529232133,5057.0,105532.0,15819.0,0.3786297824152714
85701,11118.2,4885,52.58311813480425,815.0,52639.0,5205.0,0.2997435897435897
85704,1770265.5,252609,139.56726286689613,8076.0,73268.0,34590.0,0.4001641458553172
85705,163960.1,31493,83.81795170958311,7476.0,33941.0,56344.0,0.510182119205298
85706,16596.0,4958,56.874235628855,4921.0,46532.0,57897.0,0.536226450463961
85707,1968.0,795,75.70035266385,0.0,-666666666.0,582.0,0.6033057851239669
85710,687142.5,165606,129.38206351549798,9623.0,52299.0,52982.0,0.5270618892508143
85711,2599181.0,314035,93.63761596262623,5831.0,50227.0,41412.0,0.46072821372599043
85712,1517469.5,528768,146.2762306792292,5480.0,45254.0,30975.0,0.465817520145568
85713,147702.0,40084,79.58840911183552,7234.0,47708.0,46688.0,0.5270906949352179
85714,20062.0,11109,74.11344912419204,2133.0,45543.0,15909.0,0.5493529070890477
85715,220818.0,109100,108.91798643339334,4291.0,80171.0,19071.0,0.3832394366197183
85716,79422.0,22205,125.04258019393804,4886.0,47568.0,31590.0,0.4247488742639418
85718,672587.5,207397,114.58811680884254,7900.0,107142.0,26965.0,0.2216860761842899
